formation_id,intitule,text,original_labels_18,taxonomy_ids,evidence,low_confidence,unmapped_labels,statut_annotation
9686f60b79a76a32,BTS Communication,"Intitulé : BTS Communication Public cible : Apprenants Bac+2 intégrant l'IA dans un cursus BTS/DUT Niveau : BAC+2 : DEUG, BT, DUT... (NIVEAU 5) Modalité : À distance Durée : 2 an Certification : RNCP 37198 Codes ROME : E1103 Organisme : LEARN TO ACT",Prompt Engineering|IA générative|Éthique de l’IA|No-code / Low-code,auto.nocode|nlp.generative_ai|nlp.prompt_engineering|pm.communication|prog.r,"[{""source_label_18"": ""Prompt Engineering"", ""taxonomy_id"": ""nlp.prompt_engineering"", ""taxonomy_label"": ""Prompt Engineering"", ""method"": ""direct_mapping"", ""confidence"": 1.0}, {""source_label_18"": ""IA générative"", ""taxonomy_id"": ""nlp.generative_ai"", ""taxonomy_label"": ""IA générative"", ""method"": ""direct_mapping"", ""confidence"": 1.0}, {""source_label_18"": ""No-code / Low-code"", ""taxonomy_id"": ""auto.nocode"", ""taxonomy_label"": ""No-code / Low-code"", ""method"": ""direct_mapping"", ""confidence"": 1.0}]","[{""taxonomy_id"": ""prog.r"", ""taxonomy_label"": ""R"", ""method"": ""text_alias_match"", ""confidence"": 0.7, ""evidence"": ""R""}, {""taxonomy_id"": ""pm.communication"", ""taxonomy_label"": ""Communication des résultats"", ""method"": ""text_alias_match"", ""confidence"": 0.7, ""evidence"": ""communication""}]",Éthique de l’IA,ia_confirmee
d2b08161c2944845,BTS Communication,"Intitulé : BTS Communication Public cible : Apprenants Bac+2 intégrant l'IA dans un cursus BTS/DUT Niveau : BAC+2 : DEUG, BT, DUT... (NIVEAU 5) Modalité : À distance Durée : 2 an Certification : RNCP 37198 Codes ROME : E1103 Organisme : LEARN TO ACT",Prompt Engineering|IA générative|No-code / Low-code|Automatisation,auto.intro|auto.nocode|nlp.generative_ai|nlp.prompt_engineering|pm.communication|prog.r,"[{""source_label_18"": ""Prompt Engineering"", ""taxonomy_id"": ""nlp.prompt_engineering"", ""taxonomy_label"": ""Prompt Engineering"", ""method"": ""direct_mapping"", ""confidence"": 1.0}, {""source_label_18"": ""IA générative"", ""taxonomy_id"": ""nlp.generative_ai"", ""taxonomy_label"": ""IA générative"", ""method"": ""direct_mapping"", ""confidence"": 1.0}, {""source_label_18"": ""No-code / Low-code"", ""taxonomy_id"": ""auto.nocode"", ""taxonomy_label"": ""No-code / Low-code"", ""method"": ""direct_mapping"", ""confidence"": 1.0}, {""source_label_18"": ""Automatisation"", ""taxonomy_id"": ""auto.intro"", ""taxonomy_label"": ""Automatisation"", ""method"": ""direct_mapping"", ""confidence"": 1.0}]","[{""taxonomy_id"": ""prog.r"", ""taxonomy_label"": ""R"", ""method"": ""text_alias_match"", ""confidence"": 0.7, ""evidence"": ""R""}, {""taxonomy_id"": ""pm.communication"", ""taxonomy_label"": ""Communication des résultats"", ""method"": ""text_alias_match"", ""confidence"": 0.7, ""evidence"": ""communication""}]",,ia_confirmee
6a51bdeddecc7b33,Améliorer l'efficacité de sa TPE à l'aide de l'IA,Intitulé : Améliorer l'efficacité de sa TPE à l'aide de l'IA Public cible : Dirigeants de TPE/PME souhaitant intégrer l'IA dans leur activité Niveau : 0 Modalité : À distance Durée : 35 h Certification : RS 7311 Codes ROME : 0 Organisme : EXPERTAIDE,Automatisation,auto.intro|prog.r,"[{""source_label_18"": ""Automatisation"", ""taxonomy_id"": ""auto.intro"", ""taxonomy_label"": ""Automatisation"", ""method"": ""direct_mapping"", ""confidence"": 1.0}]","[{""taxonomy_id"": ""prog.r"", ""taxonomy_label"": ""R"", ""method"": ""text_alias_match"", ""confidence"": 0.7, ""evidence"": ""R""}]",,ia_confirmee
04c02ef4a0f5240c,Développer son activité avec l'intelligence artificielle,Intitulé : Développer son activité avec l'intelligence artificielle Public cible : Tout professionnel souhaitant maîtriser l'IA dans son activité Niveau : 0 Modalité : À distance Durée : 14 h Certification : RS 7344 Codes ROME : 0 Organisme : DABOUSSI,Prompt Engineering|Éthique de l’IA|Automatisation,auto.intro|nlp.prompt_engineering|prog.r,"[{""source_label_18"": ""Prompt Engineering"", ""taxonomy_id"": ""nlp.prompt_engineering"", ""taxonomy_label"": ""Prompt Engineering"", ""method"": ""direct_mapping"", ""confidence"": 1.0}, {""source_label_18"": ""Automatisation"", ""taxonomy_id"": ""auto.intro"", ""taxonomy_label"": ""Automatisation"", ""method"": ""direct_mapping"", ""confidence"": 1.0}]","[{""taxonomy_id"": ""prog.r"", ""taxonomy_label"": ""R"", ""method"": ""text_alias_match"", ""confidence"": 0.7, ""evidence"": ""R""}]",Éthique de l’IA,ia_confirmee
bbb3e47944a31333,Expert en ingénierie de l'intelligence artificielle,"Intitulé : Expert en ingénierie de l'intelligence artificielle Public cible : Managers et professionnels RH souhaitant intégrer l'IA dans leur management Niveau : BAC+5 : grade master, DEA, DESS, ingénieur... (NIVEAU 7) Modalité : À distance Durée : 2 an Certification : RNCP 38587 Codes ROME : M1802 | M1803 | M1805 | M1810 Organisme : ESGI, IPE",Prompt Engineering|IA générative|Éthique de l’IA,nlp.generative_ai|nlp.prompt_engineering|prog.r,"[{""source_label_18"": ""Prompt Engineering"", ""taxonomy_id"": ""nlp.prompt_engineering"", ""taxonomy_label"": ""Prompt Engineering"", ""method"": ""direct_mapping"", ""confidence"": 1.0}, {""source_label_18"": ""IA générative"", ""taxonomy_id"": ""nlp.generative_ai"", ""taxonomy_label"": ""IA générative"", ""method"": ""direct_mapping"", ""confidence"": 1.0}]","[{""taxonomy_id"": ""prog.r"", ""taxonomy_label"": ""R"", ""method"": ""text_alias_match"", ""confidence"": 0.7, ""evidence"": ""R""}]",Éthique de l’IA,ia_confirmee
5b668495db36f3fc,Produire et réviser du contenu professionnel multimédia en utilisant les outils d'Intelligence Artificielle Générative (IAG) de façon responsable,Intitulé : Produire et réviser du contenu professionnel multimédia en utilisant les outils d'Intelligence Artificielle Générative (IAG) de façon responsable Public cible : Tout professionnel souhaitant maîtriser l'IA dans son activité Niveau : 0 Modalité : Présentiel Durée : 80 h Certification : RS 6891 Codes ROME : 0 Organisme : BT FORMATION,Prompt Engineering|IA générative|Éthique de l’IA|Automatisation,auto.intro|nlp.generative_ai|nlp.prompt_engineering|prog.r,"[{""source_label_18"": ""Prompt Engineering"", ""taxonomy_id"": ""nlp.prompt_engineering"", ""taxonomy_label"": ""Prompt Engineering"", ""method"": ""direct_mapping"", ""confidence"": 1.0}, {""source_label_18"": ""IA générative"", ""taxonomy_id"": ""nlp.generative_ai"", ""taxonomy_label"": ""IA générative"", ""method"": ""direct_mapping"", ""confidence"": 1.0}, {""source_label_18"": ""Automatisation"", ""taxonomy_id"": ""auto.intro"", ""taxonomy_label"": ""Automatisation"", ""method"": ""direct_mapping"", ""confidence"": 1.0}]","[{""taxonomy_id"": ""prog.r"", ""taxonomy_label"": ""R"", ""method"": ""text_alias_match"", ""confidence"": 0.7, ""evidence"": ""R""}]",Éthique de l’IA,ia_confirmee
8e59cf9bd28637f4,MASTER Mathématiques et applications,"Intitulé : MASTER Mathématiques et applications Public cible : Ingénieurs / Bac+5 visant une expertise IA avancée Niveau : BAC+5 : grade master, DEA, DESS, ingénieur... (NIVEAU 7) Modalité : Présentiel Durée : 1 an Certification : RNCP 39416 Codes ROME : H1206 | K2107 | M1201 | M1403 Organisme : UNIVERSITE PARIS DAUPHINE",Data Science|Big Data,ds.big_data|ds.intro|prog.r,"[{""source_label_18"": ""Data Science"", ""taxonomy_id"": ""ds.intro"", ""taxonomy_label"": ""Data Science"", ""method"": ""direct_mapping"", ""confidence"": 1.0}, {""source_label_18"": ""Big Data"", ""taxonomy_id"": ""ds.big_data"", ""taxonomy_label"": ""Big Data"", ""method"": ""direct_mapping"", ""confidence"": 1.0}]","[{""taxonomy_id"": ""prog.r"", ""taxonomy_label"": ""R"", ""method"": ""text_alias_match"", ""confidence"": 0.7, ""evidence"": ""R""}]",,ia_confirmee
9fa3b95950bae0b1,Expert en systèmes d information et sécurité,"Intitulé : Expert en systèmes d information et sécurité Public cible : Ingénieurs / Bac+5 visant une expertise IA avancée Niveau : BAC+5 : grade master, DEA, DESS, ingénieur... (NIVEAU 7) Modalité : Présentiel Durée : 1 an Certification : RNCP 39394 Codes ROME : M1802 | M1803 | M1805 | M1806 | M1810 Organisme : ADG",Data Science|Python pour l’IA|Visualisation,ds.intro|ds.visualization|prog.r,"[{""source_label_18"": ""Data Science"", ""taxonomy_id"": ""ds.intro"", ""taxonomy_label"": ""Data Science"", ""method"": ""direct_mapping"", ""confidence"": 1.0}, {""source_label_18"": ""Visualisation"", ""taxonomy_id"": ""ds.visualization"", ""taxonomy_label"": ""Visualisation"", ""method"": ""direct_mapping"", ""confidence"": 1.0}]","[{""taxonomy_id"": ""prog.r"", ""taxonomy_label"": ""R"", ""method"": ""text_alias_match"", ""confidence"": 0.7, ""evidence"": ""R""}]",Python pour l’IA,ia_confirmee
dcf9037ba50f5f7b,Développeur en intelligence artificielle,"Intitulé : Développeur en intelligence artificielle Public cible : Professionnels Bac+3/4 en reconversion ou spécialisation IA Niveau : BAC+3 ou 4 : licence, master 1, maîtrise (NIVEAU 6) Modalité : À distance Durée : 1 an Certification : RNCP 37827 Codes ROME : M1805 Organisme : IQ FACTORY (Artefact School of Data)",Machine Learning|Deep Learning|NLP|Data Engineering|Data Science|Python pour l’IA|Éthique de l’IA|Visualisation,de.intro|dl.intro|ds.intro|ds.visualization|ml.intro|nlp.intro|prog.r,"[{""source_label_18"": ""Machine Learning"", ""taxonomy_id"": ""ml.intro"", ""taxonomy_label"": ""Machine Learning"", ""method"": ""direct_mapping"", ""confidence"": 1.0}, {""source_label_18"": ""Deep Learning"", ""taxonomy_id"": ""dl.intro"", ""taxonomy_label"": ""Deep Learning"", ""method"": ""direct_mapping"", ""confidence"": 1.0}, {""source_label_18"": ""NLP"", ""taxonomy_id"": ""nlp.intro"", ""taxonomy_label"": ""NLP"", ""method"": ""direct_mapping"", ""confidence"": 1.0}, {""source_label_18"": ""Data Engineering"", ""taxonomy_id"": ""de.intro"", ""taxonomy_label"": ""Data Engineering"", ""method"": ""direct_mapping"", ""confidence"": 1.0}, {""source_label_18"": ""Data Science"", ""taxonomy_id"": ""ds.intro"", ""taxonomy_label"": ""Data Science"", ""method"": ""direct_mapping"", ""confidence"": 1.0}, {""source_label_18"": ""Visualisation"", ""taxonomy_id"": ""ds.visualization"", ""taxonomy_label"": ""Visualisation"", ""method"": ""direct_mapping"", ""confidence"": 1.0}]","[{""taxonomy_id"": ""prog.r"", ""taxonomy_label"": ""R"", ""method"": ""text_alias_match"", ""confidence"": 0.7, ""evidence"": ""R""}]",Python pour l’IA|Éthique de l’IA,ia_confirmee
0614cbdd8f46e189,Expert en intelligence économique,"Intitulé : Expert en intelligence économique Public cible : Ingénieurs / Bac+5 visant une expertise IA avancée Niveau : BAC+5 : grade master, DEA, DESS, ingénieur... (NIVEAU 7) Modalité : À distance Durée : 1 an Certification : RNCP 40898 Codes ROME : E1103 | K1601 | M1402 | M1403 | M1707 Organisme : ECOLE SUP LIBRE SCIENCES COM APPLIQUEES",Data Science|Éthique de l’IA|Visualisation,ds.intro|ds.visualization|prog.r,"[{""source_label_18"": ""Data Science"", ""taxonomy_id"": ""ds.intro"", ""taxonomy_label"": ""Data Science"", ""method"": ""direct_mapping"", ""confidence"": 1.0}, {""source_label_18"": ""Visualisation"", ""taxonomy_id"": ""ds.visualization"", ""taxonomy_label"": ""Visualisation"", ""method"": ""direct_mapping"", ""confidence"": 1.0}]","[{""taxonomy_id"": ""prog.r"", ""taxonomy_label"": ""R"", ""method"": ""text_alias_match"", ""confidence"": 0.7, ""evidence"": ""R""}]",Éthique de l’IA,ia_confirmee
4953b88455270a61,Introduire l intelligence artificielle pour optimiser l activité dans le respect des réglementations,Intitulé : Introduire l intelligence artificielle pour optimiser l activité dans le respect des réglementations Public cible : Tout professionnel souhaitant maîtriser l'IA dans son activité Niveau : 0 Modalité : À distance Durée : 25 h Certification : RS 7029 Codes ROME : 0 Organisme : SKEMA BUSINESS SCHOOL,Prompt Engineering|IA générative|Éthique de l’IA,nlp.generative_ai|nlp.prompt_engineering|prog.r,"[{""source_label_18"": ""Prompt Engineering"", ""taxonomy_id"": ""nlp.prompt_engineering"", ""taxonomy_label"": ""Prompt Engineering"", ""method"": ""direct_mapping"", ""confidence"": 1.0}, {""source_label_18"": ""IA générative"", ""taxonomy_id"": ""nlp.generative_ai"", ""taxonomy_label"": ""IA générative"", ""method"": ""direct_mapping"", ""confidence"": 1.0}]","[{""taxonomy_id"": ""prog.r"", ""taxonomy_label"": ""R"", ""method"": ""text_alias_match"", ""confidence"": 0.7, ""evidence"": ""R""}]",Éthique de l’IA,ia_confirmee
50f1160430d5199e,Programmer et automatiser des tâches avec Python (Tosa),Intitulé : Programmer et automatiser des tâches avec Python (Tosa) Public cible : Tout professionnel souhaitant maîtriser l'IA dans son activité Niveau : 0 Modalité : Présentiel Durée : 35 h Certification : RS 6962 Codes ROME : 0 Organisme : MYPE,Machine Learning|Data Science|Python pour l’IA,ds.intro|ml.intro|prog.python|prog.r,"[{""source_label_18"": ""Machine Learning"", ""taxonomy_id"": ""ml.intro"", ""taxonomy_label"": ""Machine Learning"", ""method"": ""direct_mapping"", ""confidence"": 1.0}, {""source_label_18"": ""Data Science"", ""taxonomy_id"": ""ds.intro"", ""taxonomy_label"": ""Data Science"", ""method"": ""direct_mapping"", ""confidence"": 1.0}]","[{""taxonomy_id"": ""prog.python"", ""taxonomy_label"": ""Python pour l'IA"", ""method"": ""text_alias_match"", ""confidence"": 0.7, ""evidence"": ""Python""}, {""taxonomy_id"": ""prog.r"", ""taxonomy_label"": ""R"", ""method"": ""text_alias_match"", ""confidence"": 0.7, ""evidence"": ""R""}]",Python pour l’IA,ia_confirmee
501310ebf0a3d272,MASTER Informatique (fiche nationale),"Intitulé : MASTER Informatique (fiche nationale) Public cible : Ingénieurs / Bac+5 visant une expertise IA avancée Niveau : BAC+5 : grade master, DEA, DESS, ingénieur... (NIVEAU 7) Modalité : Présentiel Durée : 1479 h Certification : RNCP 39278 Codes ROME : M1801 | M1802 | M1803 | M1805 | M1806 Organisme : UNIVERSITE DE LILLE",Big Data,ds.big_data|prog.r,"[{""source_label_18"": ""Big Data"", ""taxonomy_id"": ""ds.big_data"", ""taxonomy_label"": ""Big Data"", ""method"": ""direct_mapping"", ""confidence"": 1.0}]","[{""taxonomy_id"": ""prog.r"", ""taxonomy_label"": ""R"", ""method"": ""text_alias_match"", ""confidence"": 0.7, ""evidence"": ""R""}]",,ia_confirmee
fc2ef7904481dd8b,Expert en ingénierie de l intelligence artificielle,"Intitulé : Expert en ingénierie de l intelligence artificielle Public cible : Ingénieurs / Bac+5 visant une expertise IA avancée Niveau : BAC+5 : grade master, DEA, DESS, ingénieur... (NIVEAU 7) Modalité : À distance Durée : 400 h Certification : RNCP 38587 Codes ROME : M1802 | M1803 | M1805 | M1810 Organisme : DATASCIENTEST",Machine Learning|Deep Learning|Computer Vision|Data Engineering|Data Science|Python pour l’IA|Éthique de l’IA|Visualisation|Reinforcement Learning|Séries temporelles,cv.intro|de.intro|dl.intro|ds.intro|ds.time_series|ds.visualization|ml.intro|ml.reinforcement|prog.r,"[{""source_label_18"": ""Machine Learning"", ""taxonomy_id"": ""ml.intro"", ""taxonomy_label"": ""Machine Learning"", ""method"": ""direct_mapping"", ""confidence"": 1.0}, {""source_label_18"": ""Deep Learning"", ""taxonomy_id"": ""dl.intro"", ""taxonomy_label"": ""Deep Learning"", ""method"": ""direct_mapping"", ""confidence"": 1.0}, {""source_label_18"": ""Computer Vision"", ""taxonomy_id"": ""cv.intro"", ""taxonomy_label"": ""Computer Vision"", ""method"": ""direct_mapping"", ""confidence"": 1.0}, {""source_label_18"": ""Data Engineering"", ""taxonomy_id"": ""de.intro"", ""taxonomy_label"": ""Data Engineering"", ""method"": ""direct_mapping"", ""confidence"": 1.0}, {""source_label_18"": ""Data Science"", ""taxonomy_id"": ""ds.intro"", ""taxonomy_label"": ""Data Science"", ""method"": ""direct_mapping"", ""confidence"": 1.0}, {""source_label_18"": ""Visualisation"", ""taxonomy_id"": ""ds.visualization"", ""taxonomy_label"": ""Visualisation"", ""method"": ""direct_mapping"", ""confidence"": 1.0}, {""source_label_18"": ""Reinforcement Learning"", ""taxonomy_id"": ""ml.reinforcement"", ""taxonomy_label"": ""Apprentissage par renforcement"", ""method"": ""direct_mapping"", ""confidence"": 1.0}, {""source_label_18"": ""Séries temporelles"", ""taxonomy_id"": ""ds.time_series"", ""taxonomy_label"": ""Séries temporelles"", ""method"": ""direct_mapping"", ""confidence"": 1.0}]","[{""taxonomy_id"": ""prog.r"", ""taxonomy_label"": ""R"", ""method"": ""text_alias_match"", ""confidence"": 0.7, ""evidence"": ""R""}]",Python pour l’IA|Éthique de l’IA,ia_confirmee
