formation_id,text,intitule,labels_18,taxonomy_ids,multi_hot,statut_annotation
9686f60b79a76a32,"Intitulé : BTS Communication Public cible : Apprenants Bac+2 intégrant l'IA dans un cursus BTS/DUT Niveau : BAC+2 : DEUG, BT, DUT... (NIVEAU 5) Modalité : À distance Durée : 2 an Certification : RNCP 37198 Codes ROME : E1103 Organisme : LEARN TO ACT",BTS Communication,Prompt Engineering | IA générative | Éthique de l’IA | No-code / Low-code,auto.nocode|gov.ethics|nlp.generative_ai|nlp.prompt_engineering,"[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1]",ia_confirmee
d2b08161c2944845,"Intitulé : BTS Communication Public cible : Apprenants Bac+2 intégrant l'IA dans un cursus BTS/DUT Niveau : BAC+2 : DEUG, BT, DUT... (NIVEAU 5) Modalité : À distance Durée : 2 an Certification : RNCP 37198 Codes ROME : E1103 Organisme : LEARN TO ACT",BTS Communication,Prompt Engineering | IA générative | No-code / Low-code | Automatisation,auto.intro|auto.nocode|nlp.generative_ai|nlp.prompt_engineering,"[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]",ia_confirmee
6a51bdeddecc7b33,Intitulé : Améliorer l'efficacité de sa TPE à l'aide de l'IA Public cible : Dirigeants de TPE/PME souhaitant intégrer l'IA dans leur activité Niveau : 0 Modalité : À distance Durée : 35 h Certification : RS 7311 Codes ROME : 0 Organisme : EXPERTAIDE,Améliorer l'efficacité de sa TPE à l'aide de l'IA,Automatisation,auto.intro,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",ia_confirmee
04c02ef4a0f5240c,Intitulé : Développer son activité avec l'intelligence artificielle Public cible : Tout professionnel souhaitant maîtriser l'IA dans son activité Niveau : 0 Modalité : À distance Durée : 14 h Certification : RS 7344 Codes ROME : 0 Organisme : DABOUSSI,Développer son activité avec l'intelligence artificielle,Prompt Engineering | Éthique de l’IA | Automatisation,auto.intro|gov.ethics|nlp.prompt_engineering,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0]",ia_confirmee
bbb3e47944a31333,"Intitulé : Expert en ingénierie de l'intelligence artificielle Public cible : Managers et professionnels RH souhaitant intégrer l'IA dans leur management Niveau : BAC+5 : grade master, DEA, DESS, ingénieur... (NIVEAU 7) Modalité : À distance Durée : 2 an Certification : RNCP 38587 Codes ROME : M1802 | M1803 | M1805 | M1810 Organisme : ESGI, IPE",Expert en ingénierie de l'intelligence artificielle,Prompt Engineering | IA générative | Éthique de l’IA,gov.ethics|nlp.generative_ai|nlp.prompt_engineering,"[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",ia_confirmee
5b668495db36f3fc,Intitulé : Produire et réviser du contenu professionnel multimédia en utilisant les outils d'Intelligence Artificielle Générative (IAG) de façon responsable Public cible : Tout professionnel souhaitant maîtriser l'IA dans son activité Niveau : 0 Modalité : Présentiel Durée : 80 h Certification : RS 6891 Codes ROME : 0 Organisme : BT FORMATION,Produire et réviser du contenu professionnel multimédia en utilisant les outils d'Intelligence Artificielle Générative (IAG) de façon responsable,Prompt Engineering | IA générative | Éthique de l’IA | Automatisation,auto.intro|gov.ethics|nlp.generative_ai|nlp.prompt_engineering,"[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0]",ia_confirmee
8e59cf9bd28637f4,"Intitulé : MASTER Mathématiques et applications Public cible : Ingénieurs / Bac+5 visant une expertise IA avancée Niveau : BAC+5 : grade master, DEA, DESS, ingénieur... (NIVEAU 7) Modalité : Présentiel Durée : 1 an Certification : RNCP 39416 Codes ROME : H1206 | K2107 | M1201 | M1403 Organisme : UNIVERSITE PARIS DAUPHINE",MASTER Mathématiques et applications,Data Science | Big Data,ds.big_data|ds.intro,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0]",ia_confirmee
9fa3b95950bae0b1,"Intitulé : Expert en systèmes d information et sécurité Public cible : Ingénieurs / Bac+5 visant une expertise IA avancée Niveau : BAC+5 : grade master, DEA, DESS, ingénieur... (NIVEAU 7) Modalité : Présentiel Durée : 1 an Certification : RNCP 39394 Codes ROME : M1802 | M1803 | M1805 | M1806 | M1810 Organisme : ADG",Expert en systèmes d information et sécurité,Data Science | Python pour l’IA | Visualisation,ds.intro|ds.visualization|prog.python,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0]",ia_confirmee
dcf9037ba50f5f7b,"Intitulé : Développeur en intelligence artificielle Public cible : Professionnels Bac+3/4 en reconversion ou spécialisation IA Niveau : BAC+3 ou 4 : licence, master 1, maîtrise (NIVEAU 6) Modalité : À distance Durée : 1 an Certification : RNCP 37827 Codes ROME : M1805 Organisme : IQ FACTORY (Artefact School of Data)",Développeur en intelligence artificielle,Machine Learning | Deep Learning | NLP | Data Engineering | Data Science | Python pour l’IA | Éthique de l’IA | Visualisation,de.intro|dl.intro|ds.intro|ds.visualization|gov.ethics|ml.intro|nlp.intro|prog.python,"[1, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0]",ia_confirmee
0614cbdd8f46e189,"Intitulé : Expert en intelligence économique Public cible : Ingénieurs / Bac+5 visant une expertise IA avancée Niveau : BAC+5 : grade master, DEA, DESS, ingénieur... (NIVEAU 7) Modalité : À distance Durée : 1 an Certification : RNCP 40898 Codes ROME : E1103 | K1601 | M1402 | M1403 | M1707 Organisme : ECOLE SUP LIBRE SCIENCES COM APPLIQUEES",Expert en intelligence économique,Data Science | Éthique de l’IA | Visualisation,ds.intro|ds.visualization|gov.ethics,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0]",ia_confirmee
