label,support,f1,precision,recall,roc_auc,threshold,n_predicted
Automatisation,18,0.5,1.0,0.3333,0.8272,0.52,6
Big Data,15,0.549,0.3889,0.9333,0.9229,0.58,36
Computer Vision,2,0.6667,0.5,1.0,1.0,0.59,4
Data Engineering,9,0.3051,0.18,1.0,0.8344,0.5,50
Data Science,23,0.5625,0.439,0.7826,0.8228,0.59,41
Deep Learning,8,0.2,0.5,0.125,0.7466,0.63,2
Ethique IA & RGPD,31,0.6939,0.9444,0.5484,0.871,0.59,18
Gestion de projet IA,23,0.7347,0.6923,0.7826,0.8844,0.59,26
IA Generative,51,0.8046,0.9722,0.6863,0.9376,0.6,36
LangChain / Agents RAG,6,0.1538,0.1429,0.1667,0.8048,0.51,7
Machine Learning,17,0.3667,0.2558,0.6471,0.7259,0.56,43
MLOps / Deploiement,6,0.4444,0.3333,0.6667,0.9264,0.5,12
NLP / Traitement du langage,2,0.6667,1.0,0.5,0.6957,0.56,1
No-code / Low-code,4,0.6667,1.0,0.5,0.9912,0.53,2
Prompt Engineering,6,0.6667,0.5556,0.8333,0.9925,0.57,9
Python,17,0.75,0.6522,0.8824,0.9706,0.61,23
Reinforcement Learning,1,0.6667,0.5,1.0,1.0,0.56,2
Series temporelles,1,1.0,1.0,1.0,1.0,0.58,1
SQL / Data Engineering,14,0.6286,0.5238,0.7857,0.9036,0.58,21
Visualisation,14,0.5366,0.4074,0.7857,0.9161,0.55,27
