label,support,f1,precision,recall,roc_auc,threshold,n_predicted
Automatisation,18,0.4348,1.0,0.2778,0.8238,0.52,5
Big Data,15,0.5283,0.3684,0.9333,0.9275,0.59,38
Computer Vision,2,0.6667,0.5,1.0,1.0,0.59,4
Data Engineering,9,0.3051,0.18,1.0,0.8395,0.5,50
Data Science,23,0.5846,0.4524,0.8261,0.8261,0.59,42
Deep Learning,8,0.0,0.0,0.0,0.7511,0.64,0
Ethique IA & RGPD,31,0.6939,0.9444,0.5484,0.8691,0.59,18
Gestion de projet IA,23,0.7895,1.0,0.6522,0.8719,0.6,15
IA Generative,51,0.7955,0.9459,0.6863,0.9346,0.6,37
LangChain / Agents RAG,6,0.1667,0.1667,0.1667,0.7748,0.51,6
Machine Learning,17,0.3607,0.25,0.6471,0.7259,0.56,44
MLOps / Deploiement,6,0.3571,0.2273,0.8333,0.9129,0.49,22
NLP / Traitement du langage,2,0.4,0.3333,0.5,0.5913,0.55,3
No-code / Low-code,4,0.6667,1.0,0.5,0.958,0.53,2
Prompt Engineering,6,0.625,0.5,0.8333,0.9775,0.57,10
Python,17,0.5965,0.425,1.0,0.9688,0.55,40
Reinforcement Learning,1,0.6667,0.5,1.0,1.0,0.56,2
Series temporelles,1,1.0,1.0,1.0,1.0,0.58,1
SQL / Data Engineering,14,0.6667,0.5455,0.8571,0.9092,0.57,22
Visualisation,14,0.5366,0.4074,0.7857,0.9098,0.55,27
